stage,difficulty,loop,noteId,noteType,phraseRole,enemyCue,noteTimeMs,durationMs,noteEndMs,trackTimeMs,nearestBeatMs,nearest16thMs,signedBeatOffsetMs,signed16thOffsetMs,signedChartGridOffsetMs,barIndex,beatInBar,chartSubdivisionSupportRatio,beatSupportRatio,timingWarning,droppedFromSpacing
shotengai,easy,1,easy-l1-0018,tap,answer,false,18509,0,18509,18509,18747,18535,-238,-26,0,6,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0019,tap,answer,false,19361,0,19361,19361,19429,19387,-68,-26,0,7,0,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0020,tap,kobushi,false,20213,0,20213,20213,20111,20240,102,-27,0,7,1,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0021,hold,tame,false,21236,682,21918,21236,21474,21262,-238,-26,0,7,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0022,tap,answer,false,22259,0,22259,22259,22156,22285,103,-26,0,8,0,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0023,mash,kobushi,false,23111,1193,24304,23111,22838,23137,273,-26,0,8,1,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0024,tap,answer,false,24986,0,24986,24986,24883,25012,103,-26,0,9,0,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0025,hold,tame,false,26179,682,26861,26179,26247,26206,-68,-27,0,9,2,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0026,tap,answer,false,27202,0,27202,27202,26929,27228,273,-26,0,9,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0027,tap,kobushi,false,28054,0,28054,28054,28293,28081,-239,-27,0,10,1,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0028,tap,answer,false,28736,0,28736,28736,28974,28762,-238,-26,0,10,2,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0029,hold,tame,false,29929,682,30611,29929,29656,29956,273,-27,0,10,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0030,tap,answer,false,30952,0,30952,30952,31020,30978,-68,-26,0,11,1,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0031,tap,call,true,31804,0,31804,31804,31702,31831,102,-27,0,11,2,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0032,hold,tame,false,32486,682,33168,32486,32383,32512,103,-26,0,11,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0033,tap,answer,false,33679,0,33679,33679,33747,33706,-68,-27,0,12,1,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0034,tap,answer,false,34702,0,34702,34702,34429,34728,273,-26,0,12,2,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0035,tap,kobushi,false,35043,0,35043,35043,35111,35069,-68,-26,0,12,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0036,tap,kobushi,false,35554,0,35554,35554,35793,35581,-239,-27,0,13,0,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0037,hold,tame,false,36577,682,37259,36577,36474,36603,103,-26,0,13,1,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0038,tap,answer,false,37600,0,37600,37600,37838,37626,-238,-26,0,13,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0039,mash,kobushi,false,38452,1193,39645,38452,38520,38478,-68,-26,0,14,0,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0040,tap,answer,false,40327,0,40327,40327,40565,40353,-238,-26,0,14,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0041,hold,tame,false,41179,682,41861,41179,41247,41206,-68,-27,0,15,0,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0042,tap,answer,false,42202,0,42202,42202,41929,42228,273,-26,0,15,1,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0043,tap,kobushi,false,43054,0,43054,43054,43293,43081,-239,-27,0,15,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0044,tap,answer,false,44077,0,44077,44077,43974,44103,103,-26,0,16,0,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0045,hold,tame,false,44929,682,45611,44929,44656,44956,273,-27,0,16,1,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0046,tap,answer,false,45952,0,45952,45952,46020,45978,-68,-26,0,16,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0047,tap,call,true,46804,0,46804,46804,46702,46831,102,-27,0,17,0,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0048,hold,tame,false,47827,682,48509,47827,48065,47853,-238,-26,0,17,2,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0049,tap,answer,false,48850,0,48850,48850,48747,48876,103,-26,0,17,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0050,tap,answer,false,49702,0,49702,49702,49429,49728,273,-26,0,18,0,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0051,tap,kobushi,false,50554,0,50554,50554,50793,50581,-239,-27,0,18,2,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0052,hold,tame,false,51577,682,52259,51577,51474,51603,103,-26,0,18,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0053,tap,answer,false,52600,0,52600,52600,52838,52626,-238,-26,0,19,1,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0054,mash,kobushi,false,53452,1193,54645,53452,53520,53478,-68,-26,0,19,2,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0055,tap,answer,false,55327,0,55327,55327,55565,55353,-238,-26,0,20,1,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0056,hold,tame,false,56179,682,56861,56179,56247,56206,-68,-27,0,20,2,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0057,tap,answer,false,57202,0,57202,57202,56929,57228,273,-26,0,20,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0058,tap,kobushi,false,58395,0,58395,58395,58293,58421,102,-26,0,21,1,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0059,tap,answer,false,59077,0,59077,59077,58974,59103,103,-26,0,21,2,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0060,hold,tame,false,60270,682,60952,60270,60338,60296,-68,-26,0,22,0,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0061,tap,answer,false,61293,0,61293,61293,61020,61319,273,-26,0,22,1,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0062,tap,call,true,62145,0,62145,62145,62383,62171,-238,-26,0,22,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0063,hold,tame,false,62827,682,63509,62827,63065,62853,-238,-26,0,23,0,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0064,tap,answer,false,64020,0,64020,64020,63747,64046,273,-26,0,23,1,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0065,tap,answer,false,64702,0,64702,64702,64429,64728,273,-26,0,23,2,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0066,tap,kobushi,false,65895,0,65895,65895,65793,65921,102,-26,0,24,0,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0067,hold,tame,false,66918,682,67600,66918,67156,66944,-238,-26,0,24,2,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0068,tap,answer,false,67941,0,67941,67941,67838,67967,103,-26,0,24,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0069,mash,kobushi,false,68793,1193,69986,68793,68520,68819,273,-26,0,25,0,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0070,tap,answer,false,70668,0,70668,70668,70565,70694,103,-26,0,25,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0071,hold,tame,false,71520,682,72202,71520,71247,71546,273,-26,0,26,0,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0072,tap,answer,false,72543,0,72543,72543,72611,72569,-68,-26,0,26,2,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0073,tap,kobushi,false,73395,0,73395,73395,73293,73421,102,-26,0,26,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0074,tap,answer,false,74418,0,74418,74418,74656,74444,-238,-26,0,27,1,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0075,hold,tame,false,75270,682,75952,75270,75338,75296,-68,-26,0,27,2,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0076,tap,answer,false,76293,0,76293,76293,76020,76319,273,-26,0,27,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0077,tap,call,true,77145,0,77145,77145,77383,77171,-238,-26,0,28,1,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0078,hold,tame,false,78168,682,78850,78168,78065,78194,103,-26,0,28,2,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0079,tap,answer,false,79191,0,79191,79191,79429,79217,-238,-26,0,29,0,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0080,tap,answer,false,80043,0,80043,80043,80111,80069,-68,-26,0,29,1,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0081,tap,kobushi,false,80895,0,80895,80895,80793,80921,102,-26,0,29,2,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0082,hold,tame,false,81918,682,82600,81918,82156,81944,-238,-26,0,30,0,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0083,tap,answer,false,82941,0,82941,82941,82838,82967,103,-26,0,30,1,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0084,mash,kobushi,false,83793,1193,84986,83793,83520,83819,273,-26,0,30,2,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0085,tap,answer,false,85668,0,85668,85668,85565,85694,103,-26,0,31,1,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0086,hold,tame,false,86520,682,87202,86520,86247,86546,273,-26,0,31,2,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0087,tap,answer,false,87543,0,87543,87543,87611,87569,-68,-26,0,32,0,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0088,tap,kobushi,false,88395,0,88395,88395,88293,88421,102,-26,0,32,1,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0089,tap,answer,false,89418,0,89418,89418,89656,89444,-238,-26,0,32,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0090,hold,tame,false,90611,682,91293,90611,90338,90637,273,-26,0,33,0,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0091,tap,answer,false,91634,0,91634,91634,91702,91660,-68,-26,0,33,2,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0092,tap,call,true,92486,0,92486,92486,92383,92512,103,-26,0,33,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0093,hold,tame,false,93168,682,93850,93168,93065,93194,103,-26,0,34,0,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0094,tap,answer,false,94361,0,94361,94361,94429,94387,-68,-26,0,34,2,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0095,tap,answer,false,95043,0,95043,95043,95111,95069,-68,-26,0,34,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0096,tap,kobushi,false,96236,0,96236,96236,96474,96262,-238,-26,0,35,1,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0097,hold,tame,false,96918,682,97600,96918,97156,96944,-238,-26,0,35,2,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0098,tap,answer,false,98111,0,98111,98111,97838,98137,273,-26,0,35,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0099,mash,kobushi,false,98963,1193,100156,98963,99202,98990,-239,-27,0,36,1,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0100,tap,answer,false,100838,0,100838,100838,100565,100865,273,-27,0,36,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0101,hold,tame,false,101861,682,102543,101861,101929,101887,-68,-26,0,37,1,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0102,tap,answer,false,102884,0,102884,102884,102611,102910,273,-26,0,37,2,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0103,tap,kobushi,false,103225,0,103225,103225,103293,103251,-68,-26,0,37,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0104,tap,kobushi,false,103736,0,103736,103736,103974,103762,-238,-26,0,38,0,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0105,tap,answer,false,104588,0,104588,104588,104656,104615,-68,-27,0,38,1,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0106,hold,tame,false,105611,682,106293,105611,105338,105637,273,-26,0,38,2,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0107,tap,answer,false,106634,0,106634,106634,106702,106660,-68,-26,0,39,0,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0108,tap,call,true,107486,0,107486,107486,107383,107512,103,-26,0,39,1,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0109,hold,tame,false,108338,682,109020,108338,108065,108365,273,-27,0,39,2,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0110,tap,answer,false,109361,0,109361,109361,109429,109387,-68,-26,0,40,0,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0111,tap,answer,false,110213,0,110213,110213,110111,110240,102,-27,0,40,1,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0112,tap,kobushi,false,111236,0,111236,111236,111474,111262,-238,-26,0,40,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0113,hold,tame,false,112088,682,112770,112088,112156,112115,-68,-27,0,41,0,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,1,easy-l1-0114,tap,answer,false,113111,0,113111,113111,112838,113137,273,-26,0,41,1,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,2,easy-l2-0001,tap,call,true,1293,0,1293,1293,1020,1319,273,-26,0,0,1,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,2,easy-l2-0002,hold,tame,false,2145,682,2827,2145,2383,2171,-238,-26,0,0,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,2,easy-l2-0003,tap,answer,false,3168,0,3168,3168,3065,3194,103,-26,0,1,0,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,2,easy-l2-0004,tap,answer,false,4020,0,4020,4020,3747,4046,273,-26,0,1,1,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,2,easy-l2-0005,tap,kobushi,false,5043,0,5043,5043,5111,5069,-68,-26,0,1,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,2,easy-l2-0006,hold,tame,false,5895,682,6577,5895,5793,5921,102,-26,0,2,0,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,2,easy-l2-0007,tap,answer,false,6918,0,6918,6918,7156,6944,-238,-26,0,2,2,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,2,easy-l2-0008,mash,kobushi,false,7770,1193,8963,7770,7838,7796,-68,-26,0,2,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,2,easy-l2-0009,tap,answer,false,9645,0,9645,9645,9883,9671,-238,-26,0,3,2,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,2,easy-l2-0010,hold,tame,false,10327,682,11009,10327,10565,10353,-238,-26,0,3,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,2,easy-l2-0011,tap,answer,false,11520,0,11520,11520,11247,11546,273,-26,0,4,0,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,2,easy-l2-0012,tap,kobushi,false,12202,0,12202,12202,11929,12228,273,-26,0,4,1,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,2,easy-l2-0013,tap,answer,false,13054,0,13054,13054,13293,13081,-239,-27,0,4,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,2,easy-l2-0014,hold,tame,false,14077,682,14759,14077,13974,14103,103,-26,0,5,0,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,2,easy-l2-0015,tap,answer,false,15100,0,15100,15100,15338,15126,-238,-26,0,5,2,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,2,easy-l2-0016,tap,call,true,15952,0,15952,15952,16020,15978,-68,-26,0,5,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,2,easy-l2-0017,tap,kobushi,true,16293,0,16293,16293,16020,16319,273,-26,0,5,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,2,easy-l2-0018,hold,tame,false,16804,682,17486,16804,16702,16831,102,-27,0,6,0,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,2,easy-l2-0019,tap,answer,false,17827,0,17827,17827,18065,17853,-238,-26,0,6,2,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,2,easy-l2-0020,tap,answer,false,18679,0,18679,18679,18747,18706,-68,-27,0,6,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,2,easy-l2-0021,tap,kobushi,false,19702,0,19702,19702,19429,19728,273,-26,0,7,0,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,2,easy-l2-0022,hold,tame,false,20554,682,21236,20554,20793,20581,-239,-27,0,7,2,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,2,easy-l2-0023,tap,answer,false,21577,0,21577,21577,21474,21603,103,-26,0,7,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,2,easy-l2-0024,mash,kobushi,false,22429,1193,23622,22429,22156,22456,273,-27,0,8,0,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,2,easy-l2-0025,tap,answer,false,24134,0,24134,24134,24202,24160,-68,-26,0,8,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,2,easy-l2-0026,hold,tame,false,24986,682,25668,24986,24883,25012,103,-26,0,9,0,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,2,easy-l2-0027,tap,answer,false,26009,0,26009,26009,26247,26035,-238,-26,0,9,2,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
shotengai,easy,2,easy-l2-0028,tap,kobushi,false,26861,0,26861,26861,26929,26887,-68,-26,0,9,3,0.927,0.695,shotengai: beat support warning 69.5%,not_observable_from_post_spacing_chart
